eegid,filename,chan,abs_delta,abs_theta,abs_alpha1,abs_alpha2,abs_beta,abs_gamma1,abs_gamma2,abs_epsilon,db_delta,db_theta,db_alpha1,db_alpha2,db_beta,db_gamma1,db_gamma2,db_epsilon,rel_delta,rel_theta,rel_alpha1,rel_alpha2,rel_beta,rel_gamma1,rel_gamma2,rel_epsilon
EGI file,0228_BBLong.raw,E40,11.0487642288208,11.0573768615723,17.0903778076172,1.14052772521973,0.555725693702698,0.289964407682419,0.35985654592514,0.34551876783371,10.3997955322266,10.3367719650269,11.9356737136841,0.169362738728523,-2.86542844772339,-5.43633842468262,-4.47888278961182,-4.66638040542603,0.0362925203517079,0.0363208123793205,0.0561377637088299,0.00374635774642229,0.00182542476603495,0.000952462927100486,0.00118204190080324,0.00113494564481433
EGI file,0228_BBLong.raw,E41,6.9057445526123,6.83648252487183,13.4067153930664,0.840806126594543,0.471076160669327,0.251043528318405,0.262499243021011,0.281404852867126,8.35609436035156,8.26419544219971,10.8112688064575,-1.08927655220032,-3.52689599990845,-6.07280111312866,-5.87119245529175,-5.58122062683105,0.031525690574199,0.0312094990577963,0.061203533038497,0.00383839746937156,0.00215052863849061,0.00114604880047195,0.00119834580466211,0.00128465252294783
EGI file,0228_BBLong.raw,E42,4.87550067901611,4.67944955825806,9.16486740112305,0.66766083240509,0.282535493373871,0.0728861317038536,0.0586327537894249,0.0595632754266262,6.84119844436646,6.65447998046875,9.19695281982422,-2.08734250068665,-6.03064966201782,-11.5213432312012,-12.3598079681396,-12.3596982955933,0.0381459314376116,0.0366120280490981,0.0717059511691332,0.00522378059104085,0.00221055868813502,0.00057026131452956,0.000458742845841053,0.000466023200070721
EGI file,0228_BBLong.raw,E43,25.6260299682617,16.8556213378906,24.3541088104248,1.39902794361115,0.608807981014252,0.264236211776733,0.230700895190239,0.238180041313171,13.8973960876465,12.0807256698608,13.4501695632935,1.11463236808777,-2.46501588821411,-5.82482194900513,-6.39314937591553,-6.28012800216675,0.0594600373879075,0.0391100705083874,0.0565088011324406,0.00324616234283894,0.001412616086392,0.000613106912294147,0.00053529494682387,0.000552648816573068
EGI file,0228_BBLong.raw,E44,19.3345642089844,16.3543395996094,23.9762496948242,1.45893728733063,0.745284080505371,0.385535299777985,0.360627502202988,0.327730387449265,12.7771053314209,11.9633941650391,13.3871974945068,1.28182125091553,-1.45772850513458,-4.17042350769043,-4.44891023635864,-4.89177846908569,0.0453144563362002,0.0383297004219559,0.0561931855976582,0.00341931409202516,0.0017467240437067,0.000903579909765326,0.000845203636169073,0.000768102441702179
EGI file,0228_BBLong.raw,E45,16.3382263183594,15.7854747772217,22.4926319122314,1.6050933599472,0.905369341373444,0.406456738710403,0.310997039079666,0.233483478426933,12.0790100097656,11.8691596984863,13.1311922073364,1.69498860836029,-0.584076702594757,-3.92546391487122,-5.07934522628784,-6.36983060836792,0.0407012850046158,0.0393242852555381,0.0560329455882311,0.00399855896830559,0.00225542800367943,0.00101255240973414,0.000774746141096036,0.000581646816292188
EGI file,0228_BBLong.raw,E46,11.0835437774658,11.1441125869751,16.7949447631836,1.19166684150696,0.614858448505402,0.399948269128799,0.476067364215851,0.489313781261444,10.4156742095947,10.3835105895996,11.8624200820923,0.411214530467987,-2.34502792358398,-4.06023740768433,-3.25905752182007,-3.16517949104309,0.0337090669199824,0.0338932797312737,0.0510795071721077,0.0036242897156626,0.00187000732403249,0.0012163873704826,0.00144789286047941,0.00148818020036892
EGI file,0228_BBLong.raw,E47,7.53393793106079,7.3535361289978,12.3187818527222,0.960947871208191,0.388448894023895,0.113128334283829,0.0993658453226089,0.0978818312287331,8.73648166656494,8.61859512329102,10.51344871521,-0.484100520610809,-4.61174488067627,-9.61236953735352,-10.0617446899414,-10.1813058853149,0.0400715256109834,0.0391120041410128,0.0655211694538593,0.00511109223589301,0.00206608272190871,0.000601707255198419,0.00052850728764409,0.000520614108816379
EGI file,0228_BBLong.raw,E48,28.4383277893066,17.2449131011963,25.1054725646973,1.43069541454315,0.771008372306824,0.517675459384918,0.324969440698624,0.248454079031944,14.2690553665161,12.1572465896606,13.5702333450317,1.25317704677582,-1.27593147754669,-2.9860315322876,-4.93798875808716,-6.10469818115234,0.0599591769278049,0.0363590607626571,0.052932209149003,0.00301646844018251,0.00162558869591781,0.00109146342740632,0.000685163420594988,0.000523838852281694
EGI file,0228_BBLong.raw,E49,20.4711952209473,16.6807174682617,24.9926338195801,1.42452311515808,0.637972891330719,0.237268969416618,0.19261135160923,0.176085755228996,13.0055751800537,12.0089588165283,13.5490140914917,1.17922079563141,-2.30259037017822,-6.31471157073975,-7.18724298477173,-7.57976055145264,0.0503521366044879,0.0410288549545738,0.061473323777318,0.00350383925251663,0.00156919525137969,0.000583600526214486,0.000473758078090126,0.000433110685420777
EGI file,0228_BBLong.raw,E50,15.4454488754272,15.2490949630737,21.9310512542725,1.65077435970306,0.623830020427704,0.135355234146118,0.104143850505352,0.10343874245882,11.8357601165771,11.7302284240723,13.0161848068237,1.83074069023132,-2.54049634933472,-8.89499282836914,-9.84945106506348,-9.91699504852295,0.0446415636688471,0.0440740432176325,0.0633867219090462,0.00477118827402592,0.00180303913241784,0.000391213576578736,0.000301004149913487,0.000298966177115865
EGI file,0228_BBLong.raw,E51,10.5404357910156,10.4967908859253,15.620475769043,1.28734147548676,0.50148618221283,0.143962815403938,0.119795896112919,0.108901932835579,10.1846485137939,10.1552925109863,11.5568695068359,0.803587079048157,-3.47674250602722,-8.56008529663086,-9.24118804931641,-9.68950843811035,0.0419555492699146,0.0417818211846881,0.0621763277798891,0.00512418267317116,0.00199613469054124,0.000573035021992766,0.000476840089240502,0.000433477315583113
EGI file,0228_BBLong.raw,E52,6.61070203781128,6.0604076385498,10.7615232467651,0.87315446138382,0.328648746013641,0.0657734796404839,0.0478048324584961,0.0455156080424786,8.15036010742188,7.77993106842041,9.94166374206543,-0.887942969799042,-5.4324164390564,-12.0489940643311,-13.2292375564575,-13.5135326385498,0.0428676074370742,0.0392991805242168,0.0697839256376028,0.00566203761845827,0.0021311484859325,0.000426513251880476,0.000309994110026427,0.000295149479606601
EGI file,0228_BBLong.raw,E53,4.8728666305542,4.17018604278564,8.01233959197998,0.652944445610046,0.242185652256012,0.0371033325791359,0.0214724894613028,0.0200844593346119,6.80650806427002,6.15203714370728,8.683424949646,-2.15974044799805,-6.8314266204834,-14.6324949264526,-16.6950874328613,-17.1041469573975,0.0445574875921011,0.0381321782867114,0.0732648231089115,0.0059705235529691,0.00221454537573404,0.000339272821221647,0.000196344403628891,0.000183652279437284
EGI file,0228_BBLong.raw,E54,2.98123502731323,2.251620054245,3.97710347175598,0.32173690199852,0.123174071311951,0.0145592130720615,0.00651931809261441,0.00665249535813928,4.65557670593262,3.46353626251221,5.68231296539307,-5.24435138702393,-9.90593147277832,-18.7691459655762,-21.8673458099365,-22.3950958251953,0.0448344750329852,0.0338618740853336,0.059811233356595,0.00483856690116227,0.0018524017584111,0.000218954448891785,9.80433312267245e-05,0.00010004617364803
EGI file,0228_BBLong.raw,E55,0.0225423127412796,0.0177536495029926,0.0402574576437473,0.00372064718976617,0.0022592565510422,0.00126262742560357,0.00105910690035671,0.00133753812406212,-16.6108436584473,-17.7371578216553,-14.4359846115112,-24.4853458404541,-26.6137409210205,-29.0183296203613,-29.7533111572266,-29.6956577301025,0.0279065677896142,0.0219783769506547,0.04983727671206,0.00460602673701942,0.00279687795721527,0.00156308702814082,0.001311136158033,0.00165582378247541
EGI file,0228_BBLong.raw,E56,19.1012992858887,16.9640331268311,25.783863067627,1.58425164222717,0.747671186923981,0.252756029367447,0.184918805956841,0.158308580517769,12.7299194335938,12.0651378631592,13.6718368530273,1.69547367095947,-1.61898386478424,-6.04418468475342,-7.35036563873291,-8.04076194763184,0.0463474011048675,0.0411615375843313,0.0625619765371084,0.00384402894414961,0.00181414973090536,0.00061328744849044,0.000448687103456788,0.000384120017517052
EGI file,0228_BBLong.raw,E57,16.971363067627,15.9642400741577,24.0848007202148,1.65017092227936,0.644580781459808,0.153766348958015,0.10341826826334,0.0930108726024628,12.2200078964233,11.8663806915283,13.3871917724609,1.85525798797607,-2.40570950508118,-8.27273941040039,-9.8697624206543,-10.3432331085205,0.0459040962159634,0.0431800356341733,0.065144507214427,0.00446337778121233,0.00174346038506233,0.000415906832809103,0.000279725420818244,0.00025157556063024
EGI file,0228_BBLong.raw,E58,14.7524194717407,13.4293441772461,19.9682521820068,1.71693742275238,0.58427894115448,0.114211201667786,0.0662100538611412,0.0555554144084454,11.6089468002319,11.1916446685791,12.5978517532349,2.09237861633301,-2.94703578948975,-9.70772933959961,-11.8044853210449,-12.5827741622925,0.0475516822189093,0.043286996997065,0.0643639530986548,0.00553422919474542,0.00188331434869074,0.00036813860545711,0.000213415818683232,0.000179072544148156
